id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxDegree,cigLimit
n236,false,0.14734574015267046,0.69632860910367,18,true,1,0.7789813897709943,0.5992207442086055,0.3853122259959306,10,70
n237,true,0.4325860268839094,0.8212418293070063,20,true,19,0.09408642181573422,0.7465676894292491,0.7315223414088805,10,70
n238,false,0.19971207863696144,0.6232880747357751,12,true,10,0.5956685071404265,0.6322469697448256,0.6032820338994084,10,70
n239,true,0.6052746868612662,0.7081626835862586,21,false,0,0.22548503089089084,0.8035435256223793,0.816856116728458,10,70
n242,false,0.1624064807551432,0.5157799697700243,13,true,7,0.6792483020401018,0.3989754598721842,0.7909899009592927,10,70
n243,false,0.4357528663124087,0.781024215286711,15,true,2,0.5648113808212789,0.974539280894281,0.702775796514336,10,70
n246,false,0.2759562468310304,0.7647163782356403,11,true,11,0.5919527294554251,0.570064363712506,0.6534816347672776,10,70
n248,true,0.32040297177620863,0.5601786133264445,20,true,10,0.4606988628029828,0.24946083599009505,0.2777207101777427,10,70
n251,true,0.6660063629007082,0.6676451641068764,13,false,0,0.09990036039138422,0.03465862296301975,0.9631390684442849,10,70
n256,false,0.15030377577984994,0.7070052587487053,12,true,5,0.5512883240800316,0.06018145204739456,0.9687741726379415,10,70
n257,true,0.12542234315638512,0.21416974305903544,11,false,0,0.37310542641896205,0.2890887473189063,0.5966147035345125,10,70
n259,true,0.5269022513318461,0.8350542356423358,27,true,19,0.7128760110040421,0.2502254070914462,0.7561974479562796,10,70
n262,true,0.2064225921027734,0.5956681578233834,27,true,9,0.6692176456684304,0.6634873090185507,0.3369581300583834,10,70
n268,false,0.25616020983985865,0.6574518504598571,12,true,13,0.6663980932770794,0.17236942707803593,0.7221254456800343,10,70
n270,true,0.06380453582903012,0.43198638106317505,13,true,19,0.9087313957780094,0.3186670068232136,0.9927927859573938,10,70
n274,true,0.1823038772019006,0.8147897492843016,14,true,19,0.5124129033820438,0.78358791272927,0.7404157749477638,10,70
n278,true,0.5079110220441354,0.7707167102833995,14,true,19,0.6508033801339529,0.5250104101965845,0.24780550166187376,10,70
n288,true,0.24073978490939973,0.8272291051405379,23,false,0,0.2600332856047508,0.39718533232432246,0.9370543386415663,10,70
n289,false,0.4460161888252408,0.763074304846097,11,true,16,0.08576939272097325,0.07424680353341184,0.8038885815442376,10,70
n290,true,0.319403519345809,0.8865944583890298,19,true,19,0.317598000927633,0.1405332062689869,0.9175763042048575,10,70
n291,false,0.5666571019197885,0.6072453875130897,10,true,4,0.20730071773108505,0.7681165986920868,0.6225725669644252,10,70
n292,true,0.2532631207689707,0.37760974418920074,21,true,12,0.6213455282434063,0.6188954181727506,0.8269693862674925,10,70
n295,true,0.21782443262581405,0.9809826898877452,29,true,10,0.4581779344670742,0.27481397529159624,0.6463650392555543,10,70
n296,true,0.015814368698201575,0.41439996679156454,12,false,0,0.6095023181008403,0.34432411371489313,0.30531154778133324,10,70
n300,false,0.47773150855985486,0.7229190969898697,0,false,0,0.5281644551617292,0.45638122197593345,0.9127682275442892,10,70
n306,true,0.0019058727750350093,0.7126997197778677,18,true,19,1.0059367594299633,0.8209772340800165,0.32704188939575646,10,70
n309,true,0.5782206980422777,0.6162433688425327,13,false,0,0.49855674731085126,0.30080168373057936,0.41579279477788983,10,70
n316,false,0.0028446039031195663,0.9957966374538575,21,true,11,1.0054480349442088,0.7693717706178624,0.6902167991686042,10,70
n317,false,0.7773275537122137,0.5849714229794438,0,false,0,0.6908766990626427,0.8126994743130098,0.5793984770188352,10,70
n327,false,0.5463689500048097,0.99826630777837,0,true,19,0.8045747674230149,0.837815543358152,0.6655369538956508,10,70
n328,true,0.3400134293077284,0.6353860496938797,12,false,0,0.1768917069654531,0.6803014791967946,0.9973281455282156,10,70
n331,true,0.2233620408560354,0.8468924996516835,15,true,19,0.35599369785502205,0.7263831490173775,0.5785045823675995,10,70
n338,true,0.7995438188158441,0.7563099245999555,12,false,0,0.9512650442413171,0.037053080051532905,0.4792058698979456,10,70
n343,true,0.05098478150952457,0.6411027702375103,12,true,19,0.6994388878759383,0.2664334656369753,0.4238303996001136,10,70
n344,true,0.1872337073075871,0.6034383525643461,32,true,8,0.6274104329532085,0.15082887709173054,0.2965077174833361,10,70
n346,true,0.23684725064165407,0.5076102396086397,21,true,15,0.531591769126317,0.5507264635250021,0.7425209382233946,10,70
n347,false,0.5886836816727585,0.7398798898254036,13,true,14,0.019107193971496524,0.8061936207514413,0.9155296931063824,10,70
n348,true,0.011694059858607091,0.678898635129667,12,true,17,0.9707676159863579,0.8506669798448931,0.433478082059894,10,70
n350,true,0.4112283300210237,0.8255994390455794,19,false,0,0.4375191953624844,0.8091235264560366,0.8287610139008782,10,70
n351,false,0.3804872263366825,0.992272320902161,0,false,0,0.15948167606765692,0.34927378459210534,0.5723721985947964,10,70
